VARS   INDEX X_AXIS Y_AXIS Z_AXIS A_AXIS DX DY DZ DA X_PPM Y_PPM Z_PPM A_PPM X_HZ Y_HZ Z_HZ A_HZ XW YW ZW AW XW_HZ YW_HZ ZW_HZ AW_HZ X1 X3 Y1 Y3 Z1 Z3 A1 A3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %9.3f %9.3f %6.3f %6.3f %6.3f %6.3f %8.3f %8.3f %8.3f %8.3f %9.3f %9.3f %9.3f %9.3f %7.3f %7.3f %7.3f %7.3f %8.3f %8.3f %8.3f %8.3f %4d %4d %4d %4d %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   42    74.825    11.970   161.630    41.591  0.002  0.001  0.005  0.003  121.663    8.461  121.682    8.461 11099.957  7617.219 11101.668  7617.369   5.442   4.897   4.831   4.421   38.794   65.511   15.520   13.629   71   77   11   13  159  164   39   45 +3.211794e+08 +1.207939e+05 +1.336615e+10 0.00000 1 E5   24    7
 1021    74.807    11.978   148.758   117.629  0.014  0.007  0.034  0.023  121.665    8.461  122.135    8.201 11100.090  7617.107 11143.015  7382.973   5.551   4.880   4.686   4.575   39.569   65.285   15.052   14.104   71   77   11   13  146  151  115  121 +3.731273e+07 +1.150552e+05 +2.024660e+09 0.00000 1 E4+1  844    8
 1023    68.928    29.267   148.761   117.648  0.002  0.001  0.005  0.004  122.124    8.204  122.135    8.201 11141.992  7385.826 11143.006  7382.917   5.367   5.038   4.740   4.575   38.257   67.391   15.226   14.104   67   71   28   32  146  151  115  121 +2.152512e+08 +1.042660e+05 +1.315351e+10 0.00000 1 E4  839   26
 1025    93.856    34.926   148.740   117.631  0.026  0.013  0.072  0.046  120.177    8.120  122.136    8.201 10964.304  7310.121 11143.073  7382.970   5.542   4.892   4.864   4.687   39.505   65.437   15.624   14.448   91   96   34   36  146  151  115  121 +1.888305e+07 +1.115846e+05 +1.087241e+09 0.00000 1 E4-1  847    2
 1072    74.811    11.974   151.076   125.610  0.013  0.007  0.024  0.023  121.664    8.461  122.054    8.173 11100.057  7617.166 11135.569  7358.374   5.532   4.935   4.552   4.630   39.435   66.023   14.621   14.272   71   77   11   13  149  153  123  129 +4.018498e+07 +1.179499e+05 +1.994034e+09 0.00000 1 E6-1  844    8
 1076    69.953    31.186   151.074   125.576  0.002  0.001  0.004  0.004  122.044    8.175  122.054    8.174 11134.689  7360.148 11135.575  7358.477   5.462   5.041   4.573   4.644   38.932   67.440   14.691   14.316   66   72   30   35  149  154  123  129 +2.451658e+08 +1.109196e+05 +1.498494e+10 0.00000 1 E6  839   26
 1581    75.177    43.066   201.082   128.156  0.011  0.006  0.021  0.011  121.636    7.999  120.293    8.165 11097.447  7201.222 10974.933  7350.524   5.683   4.937   4.647   4.188   40.510   66.040   14.927   12.911   71   78   42   44  199  203  125  131 +4.703966e+07 +1.151066e+05 +2.227302e+09 0.00000 1 L10-1 1209    5
 1585    81.993    48.982   201.083   128.119  0.011  0.006  0.021  0.010  121.103    7.911  120.293    8.165 11048.862  7122.085 10974.930  7350.639   5.607   4.977   4.601   4.164   39.965   66.586   14.781   12.835   78   84   48   50  199  203  125  131 +4.902574e+07 +1.209837e+05 +2.180219e+09 0.00000 1 L10+1 1281    4
 2047    71.971    34.980   155.789   142.068  0.002  0.001  0.004  0.002  121.886    8.119  121.888    8.117 11120.304  7309.392 11120.431  7307.639   5.554   5.164   4.684   4.026   39.592   69.083   15.046   12.411   68   76   34   36  153  158  139  145 +2.906718e+08 +1.203024e+05 +1.401771e+10 0.00000 1 A7 1704   15
 2054   100.968    51.952   155.747   142.070  0.012  0.006  0.030  0.010  119.621    7.867  121.889    8.117 10913.604  7082.356 11120.563  7307.633   5.614   4.948   4.732   4.161   40.019   66.198   15.201   12.828   97  105   51   53  153  158  139  145 +4.425078e+07 +1.169382e+05 +2.199263e+09 0.00000 1 A7+1 1722    2
 4560    75.199    43.068   163.144   177.124  0.002  0.001  0.004  0.002  121.634    7.999  121.629    7.997 11097.290  7201.195 11096.804  7199.576   5.652   4.949   4.691   4.122   40.285   66.200   15.070   12.708   71   79   42   44  160  166  174  180 +2.683186e+08 +1.167359e+05 +1.135831e+10 0.00000 1 R9 3648   65
 4568   100.964    51.946   163.162   177.152  0.009  0.005  0.020  0.009  119.621    7.867  121.628    7.997 10913.634  7082.436 11096.744  7199.491   5.585   4.961   4.687   4.142   39.812   66.369   15.056   12.768   97  103   51   53  160  165  174  180 +5.611268e+07 +1.193434e+05 +2.245476e+09 0.00000 1 R9-1 3926    3
 5748    71.949    34.963   219.978   214.728  0.011  0.006  0.021  0.014  121.888    8.119  119.628    7.868 11120.458  7309.626 10914.232  7083.659   5.561   5.170   4.532   4.246   39.643   69.162   14.559   13.090   68   74   34   36  218  222  212  218 +4.561875e+07 +1.196198e+05 +2.247689e+09 0.00000 1 E8-1 4856    3
 5751    75.194    43.053   219.952   214.686  0.011  0.005  0.019  0.015  121.635    7.999  119.629    7.868 11097.324  7201.396 10914.314  7083.788   5.651   4.894   4.620   4.434   40.281   65.467   14.843   13.668   71   78   42   44  218  222  212  218 +4.842599e+07 +1.127830e+05 +2.538034e+09 0.00000 1 E8+1 4845    3
 5755   100.981    51.946   219.984   214.756  0.002  0.001  0.004  0.003  119.620    7.867  119.627    7.868 10913.512  7082.429 10914.213  7083.572   5.508   4.931   4.700   4.557   39.262   65.967   15.100   14.049   97  105   51   53  218  222  212  218 +2.722861e+08 +1.157959e+05 +1.620459e+10 0.00000 1 E8 4840   36
 3109    68.313    29.777   162.000    41.000  0.530  0.238  1.494  0.479  122.172    8.196  121.669    8.463 11146.377  7379.002 11100.478  7619.190   6.454   5.358   5.480   4.295   46.005   71.677   17.604   13.240   67   68   29   30  161  162   40   41 +2.498393e+07 +2.257300e+05 +0.000000e+00 0.00000 1 E5-1   21    8
 3110    70.457    31.435   162.000    41.000  0.530  0.238  1.494  0.479  122.005    8.172  121.669    8.463 11131.093  7356.821 11100.478  7619.190   6.454   5.358   5.480   4.295   46.005   71.677   17.604   13.240   69   70   30   31  161  162   40   41 +3.400949e+07 +2.257300e+05 +0.000000e+00 0.00000 1 E5+1   21    8
 3111    71.968    35.137   151.000   126.000  0.530  0.238  1.494  0.479  121.887    8.117  122.056    8.172 11120.320  7307.292 11135.813  7357.170   6.454   5.358   5.480   4.295   46.005   71.677   17.604   13.240   71   72   34   35  150  151  125  126 +3.833680e+07 +2.257300e+05 +0.000000e+00 0.00000 1 E6+1  839   26
 3112    70.034    31.416   156.000   143.000  0.530  0.238  1.494  0.479  122.038    8.172  121.880    8.114 11134.111  7357.070 11119.752  7304.766   6.454   5.358   5.480   4.295   46.005   71.677   17.604   13.240   69   70   30   31  155  156  142  143 +2.840737e+07 +2.257300e+05 +0.000000e+00 0.00000 1 A7-1 2588    1
